辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
論曰：應知此中假謂名等；	Commentary: One should understand that here “the nominal” refers to names and so forth.
因謂種子所攝藏識；	“Causes” refer the store consciousness (ālaya-vijñāna) in which seeds are held.
相謂器身并受用具，及轉識攝意取思惟；	“Characteristics” refer to the container world [i.e., the natural environment of mountains and rivers, etc.], the body, and that which is experienced. The forthcoming consciousnesses includes mentation, grasping (i.e., sensation), and conceptualization.
意謂恒時思量性識；	Mentation refers to constant deliberative activity.
取謂五識取現境故；	Grasping refers to the five consciousnesses, since they grasp present objects.
思惟即是第六意識，以能分別一切境故。	Conceptualization refers to the sixth discriminating consciousness, since it can discriminate all objects.
如是若假、若因、若相及相應法，總名有為。 若寂靜者，謂所證滅及能證道，能寂靜故。	Like this, whether they are designations, Chapter Three cause, characteristic, or concomitant phenomena, they are collectively called “conditioned.” “Quiescence” refers to the cessation that is realized and the path that leads to realization, since it is able to silence [afflictions].
彼所觀義，謂即真如，是寂靜道所緣境故。	That observed object is thusness, since it is the object of the path of quiescence.
如是所說若諸寂靜、若所觀義，總名無為。 應知此中緣蘊等十義所起正知，名蘊等善巧。	Thus, whether it is forms of quiescence or the object observed, they are collectively called “unconditioned.” One should understand the correct knowledge that has arisen concerning the ten meanings in relation to the aggregates, etc. is called skill with the aggregates, etc.
真實總義略有二種，謂即能顯、所顯真實。	The general meaning of reality includes two types in brief: reality that reveals and the reality that is revealed.
能顯真實，謂即最初三種根本，能顯餘故。	Revealing realities refer to the first three types of fundamental realities, since they reveal the others.
所顯真實，謂後九種，是初根本所顯示故。	Revealed realities refer to the latter nine types, since these are revealed by the prior fundamental realities.
所顯九者，一離增上慢所顯真實； 二對治顛倒所顯真實； 三聲聞乘出離所顯真實；	The nine that are revealed include the following: superiority.
四無上乘出離所顯真實，由麁能成熟細能解脫故；	resulting from the coarse brought to maturity and the subtle enabling liberation. others.
五能伏他論所顯真實，依喻導理降伏他故； 六顯了大乘所顯真實； 七入一切種所知所顯真實； 八顯不虛妄真如所顯真實；	One refutes others by utilizing analogies and being guided by reason.
九入我執事一切祕密所顯真實。	and all mysteries.
辯修對治品第四已辯真實，今次當辯修諸對治，即修一切菩提分法。	Chapter Four Discussion of the Cultivation of Antidotes Having explained reality, I will now explain the cultivation of antidotes. This includes the cultivation of all factors of awakening.
此中先應說修念住。	Here I will first explain cultivation of the bases of mindfulness.
頌曰：   以麁重愛因，   我事無迷故，   為入四聖諦，   修念住應知。	The verse reads as follows: In order to understand the Four Noble Truths, one should understand cultivation of the bases of mindfulness through (1) debilitations, (2) the causes of craving, (3) the object of self, and (4) the absence of delusion.
論曰：麁重由身而得顯了，故觀察此入苦聖諦。	Commentary: Debilitations are made manifest through the body, hence it is through the contemplation of this that one understands the noble truth of suffering, since the body is characterized by its possession of debilitations and formations.
身以有麁重諸行為相故，以諸麁重即行苦性，由此聖觀有漏皆苦。	The debilitations are comprised of the qualities of suffering caused by the formations. As a result of this, noble beings view all contamination as suffering.
諸有漏受說為愛因，故觀察此入集聖諦。	Feelings that are contaminated are said to be the causes of craving, thus contemplating this leads to understanding the noble truth of arising.
心是我執所依緣事，故觀察此入滅聖諦，怖我斷滅由斯離故。	The mind is the objective basis for grasping to a self. Thus, contemplating this leads to understanding the noble truth of cessation. One is freed from the fear of the extinction of the self through contemplation of this.
觀察法故，於染淨法遠離愚迷入道聖諦。	Contemplating phenomena leads to understanding the noble truth of the path, in that one becomes far removed from delusion with respect to defiled and pure phenomena.
是故為入四聖諦理，最初說修四念住觀。	Hence, cultivation of the four bases of mindfulness is first explained as a means of understanding the principles of the Four Noble Truths.
已說修念住，當說修正斷。	Having explained cultivation of the bases of mindfulness, I will now explain cultivation of the [four types of] correct elimination.
頌曰：   已遍知障治，   一切種差別，   為遠離修集，   勤修四正斷。	The verse reads as follows: Now able to fully comprehend the antidotes to obstacles in all their differing types, the four types of correct elimination are diligently cultivated in order to be far removed [from obstacles] and to produce [the antidotes].
論曰：前修念住，已能遍知一切障治品類差別。	Commentary: It is through the aforementioned cultivation of the bases of mindfulness that one is able to fully comprehend the differences and distinctions among all obstacles and antidotes.
今為遠離所治障法，及為修集能對治道，於四正斷精勤修習。	Now there is diligent cultivation of the four types of correct elimination in order to be far removed from the obstacles to be remedied, and in order to cultivate a way that corrects.
如說已生惡不善法為令斷故，乃至廣說。	As is explained in detail [elsewhere], this is done so as to eliminate unwholesome states that have already arisen.
已說修正斷，當說修神足。	Having explained cultivation of the correct eliminations, I will explain the cultivation of supernormal powers.
頌曰：   依住堪能性，   為一切事成，   滅除五過失，   勤修八斷行。	The verse reads as follows: On the basis of abiding with adaptability, the eight formative forces of elimination are diligently cultivated to accomplish all things, and to remove the five errors. Commentary:
論曰：依前所修離集精進，心便安住有所堪能，為勝事成修四神足，是諸所欲勝事因故。	The mind abides in stability based upon the aforementioned effort in cultivating the removal [of obstacles] and cultivation [of antidotes]. It then possesses adaptability. The four supernormal powers are cultivated to attain excellent objectives, because these are the causes for the desired excellent objectives.
住謂心住，此即等持故。	Abiding refers to the mind abiding, since this is meditative concentration.
次正斷說四神足，此堪能性，謂能滅除五種過失修八斷行。	The four supernormal powers are explained following the correct eliminations. “Adaptability” refers to the cultivation of the eight formative forces of elimination that can remove the five types of errors.
何者名為五種過失？	What are the five types of errors?
頌曰：   懈怠、忘聖言，   及惛沈、掉舉、   不作行作行，   是五失應知。	The verse reads as follows: These five faults should be understood: (1) laziness, (2) forgetting noble words, (3) laxity and excitement, (4) nonapplication, and (5) application.
論曰：應知此中惛沈掉舉合為一失、若為除滅惛沈掉舉不作加行、或已滅除惛沈掉舉、復作加行俱為過失。	Commentary: It should be understood that herein laxity and excitement are combined as a single fault. Not applying oneself to remove laxity and excitement, or applying additional effort when laxity-excitement have been removed, constitute faults.
為除此五、修八斷行。	Cultivating the eight formative forces of elimination remove these five.
云何安立彼行相耶？	How are the characteristics of those forces established?
頌曰。	The verses read as follows:
為斷除懈怠，   修欲、勤、信、安，   即所依、能依，   及所因、能果。	In order to eliminate laziness, cultivate (1) the desire to do so, (2) effort, (3) faith, and (4) serenity. These constitute the support, that which is sup54 Chapter Four ported, cause, and effect.
為除餘四失，   修念、智、思、捨，   記言覺沈掉，   伏行滅等流。 論曰：為滅懈怠，修四斷行：一欲、二正勤、三信、四輕安。	In order to remove the four faults, cultivate (1) mindfulness, (2) attentiveness, (3) volition, and (4) equanimity, which [respectively constitute] recollection, awareness of laxity-excitement, subjugating activity, and the flow of equanimity following cessation. Commentary: The four activities of elimination are cultivated in order to eliminate laziness: (1) the desire to do so, (2) correct effort, (3) faith, (4) pliancy.
如次應知即所依等。	They should be understood as follows.
所依，謂欲、勤所依故。	They constitute supports and so forth, since “support” refers to the desire, which is the support for effort.
能依，謂勤依欲起故。	“That which is supported” refers to effort, because it arises based upon desire.
所因，謂信是所依欲生起近因，若信受彼便希望故。	“Cause” refers to faith, the support for this being desire, which gives rise to direct causes, since there will be hope if there is belief in that.
能果，謂安是能依勤近所生果，勤精進者得勝定故。	“Result” refers to pliancy, this being a directly caused result of that which is supported (effort), since those who exert themselves attain superior meditative concentration.
為欲對治後四過失，如數修餘四種斷行：一念、二正知、三思、四捨。	The remaining four types of forces of elimination are cultivated with the aim of correcting the latter four faults in sequence: (1) mindfulness, (2) correct attentiveness, (3) volition, (4) equanimity.
如次應知即記言等。	They should be understood in order. These constitute recollection and so forth.
記言謂，念能不忘境，記聖言故。	“Recollection” refers to mindfulness, being the mind's ability to not forget objects, since the words of the sages (i.e., Buddhist teachings) are kept in mind.
覺沈掉者，謂即正知，由念記言便能隨覺惛沈、掉舉二過失故。	“Awareness of laxity and excitement” refers to correct attentiveness, since it is through mindfulness that one is able to remain aware of the two faults of laxity and excitement.
伏行謂思，由能隨覺沈掉失已，為欲伏除發起加行。	“Subjugating activity” refers to volition, since applied action is brought about to remove the faults of laxity and excitement after having become aware of them.
滅等流者，謂彼沈掉既斷滅已，心便住捨平等而流。	“Flow of equanimity following cessation” refers to the mind flowing evenly in equanimity, having eliminated laxity and excitement.
已說修神足，當說修五根。	Having explained the cultivation of the supernormal powers, I will explain cultivation of the five faculties.
所修五根云何安立？	How is the cultivation of the five faculties established?
頌曰：   已種順解脫，   復修五增上，   謂欲、行、不忘、   不散亂、思擇。	The verse reads as follows: Having planted the factors conducive to liberation, further cultivate five overwhelming powers: (1) the desire to act, (2) application, (3) retention, (4) being undisturbed, and (5) critical analysis. Commentary:
論曰：由四神足心有堪能，順解脫分善根滿已，復應修習五種增上：一欲增上、二加行增上、三不忘境增上、四不散亂增上、五思擇增上。	The mind comes to possess adaptability from the four supernormal powers. The virtuous roots having been brought to maturity in relation to the factors conducive to liberation, one should further cultivate five overwhelming powers: (1) the overwhelming power of the desire to act, (2) the overwhelming power of application, (3) the overwhelming power of not forgetting objects [in the mind], (4) the overwhelming power of being undisturbed, (5) the overwhelming power of critical analysis.
此五如次第即信等五根。	These five follow in order after the five faculties of faith and [effort, mindfulness, concentration, and wisdom].
已說修五根，當說修五力。	Having explained the cultivation of the five faculties, I will explain the cultivation of the five powers.
何者五力？ 次第云何？	What are the five powers and what is their sequence?
頌曰：   即損障名力，   因果立次第。	The verse reads as follows: Eliminating obstacles is called power. Its order is established as cause and effect.
論曰：即前所說信等五根，有勝勢用復說為力。	Commentary: The aforementioned five faculties of faith and so forth are powerful, and thus they are also called powers.
謂能伏滅不信障等，亦不為彼所陵雜故。	This means that they are able to eliminate the obstacles of disbelief and so forth because they are not mixed up with them.
此五次第依因果立，以依前因引後果故。	The ordering of these five is established based on cause and effect, since it is based on the earlier cause that the latter effect is brought about.
謂若決定信有因果，為得此果發勤精進，勤精進已便住正念，住正念已心則得定，心得定已能如實知，既如實知無事不辦，故此次第依因果立。	If (1) firm faith has a cause and effect, then (2) zeal will be aroused to attain this effect. Once zeal is aroused, one will abide in (3) correct mindfulness. Abiding in correct mindfulness, the mind will attain (4) meditative concentration. The mind having attained meditative concentration, it will be possible to (5) know things as they really are (i.e., wisdom). Knowing things as they really are, there is nothing that one cannot handle. Hence, this order is established based upon cause and effect.
如前所說順解脫分既圓滿已復修五根。 何位修習順決擇分？	As explained earlier, the factors conducive to liberation having been perfected, one further cultivates the five faculties. At what stage does one cultivate the elements conducive to penetrating insight:
為五根位、五力位耶？	is it at the stage of the five faculties or of the five powers?
頌曰：   順決擇二二，   在五根、五力。	The verse reads as follows: Elements conducive to penetrating insight are assigned in pairs to the five faculties and five powers. Commentary:
論曰：順決擇分中暖、頂二種在五根位，忍、世第一法在五力位。	Among the elements conducive to penetrating insight, Chapter Four warmth and the tipping point are assigned to the five faculties. Tolerance and the highest mundane state belong to the five powers.
已說修五力，當說修覺支。	Having explained cultivation of the five powers, I will explain cultivation of the limbs of awakening.
所修覺支云何安立？	How is cultivation of the limbs of awakening established?
頌曰：   覺支略有五，   謂所依、自性、   出離并利益，   及三無染支。	The verse reads as follows: The limbs of awakening briefly comprise five: the limbs of (1) support, (2) intrinsic nature, (3) liberation, (4) benefit, and (5) the three states of freedom from defilement.
論曰：此支助覺故名覺支。	Commentary: These limbs support awakening, which is why they are called the limbs of awakening.
由此覺支位在見道，廣有七種，略為五支。	Since these limbs of awakening are included in the path of seeing, there are broadly seven types, briefly constituting five limbs:
一覺所依支，謂念。 二覺自性支，謂擇法。 三覺出離支，謂精進。 四覺利益支，謂喜。 五覺無染支，此復三種，謂安、定、捨。	(1) the limb that supports awakening refers to mindfulness, (2) the limb of intrinsic nature related to awakening refers to analysis of phenomena, (3) the limb of liberation related to awakening refers to effort, (4) the limb of benefit related to awakening refers to joy, (5) the limb of being freed from defilement is related to awakening—which here is of three additional types: pliancy, meditative concentration, and equanimity.
何故復說無染為三？	Why is it explained that being free from defilement constitutes three further types? The verse reads as follows:
頌曰：   由因緣所依，   自性義差別，   故輕安、定、捨，   說為無染支。	From the specific meanings of (1) causal condition, (2) support, and (3) intrinsic nature, the limbs of freedom from defilement are explained as (1) pliancy, (2) meditative concentration, and (3) equanimity. Commentary:
論曰：輕安即是無染因緣。 麁重為因生諸雜染，輕安是彼近對治故。	Pliancy is the causal condition for freedom from defilement, since debilitations serve as causes to produce various defilements, while pliancy is a direct antidote for that.
所依謂定自性，即捨。	The support refers to meditative concentration. The intrinsic nature is equanimity.
故此無染義別有三。	Hence, this freedom from defilement includes three separate meanings.
說修覺支已，當說修道支。	Having explained the cultivation of the limbs of awakening, I will explain the cultivation of limbs of the path.
所修道支云何安立？	How are the cultivated limbs of the path established?
頌曰：   分別及誨示，   令他信有三，   對治障亦三，   故道支成八。	The verse reads as follows: The limbs of the path constitute eight, namely, (1) ascertaining and (2) instruction; (3–5) leading others to [have] faith includes three; and (6–8) the counteracting of obstacles also includes three.
論曰：於修道位建立道支，故此道支廣八略四。 一分別支，謂正見。	Commentary: The limbs of the path are established at the stage of the path of cultivation, hence these limbs of the path are counted in detail as eight or briefly as four.
此雖是世間而出世後得，由能分別見道位中自所證故。	ascertainment] is used in mundane [cognition], it is also used in the transmundane, subsequently attained [cognition]. This is because it is able to discriminate that which is witnessed in the stage of the path of seeing.16 thought and correct speech.
二誨示他支，謂正思惟、正語一分，等起發言誨示他故。 三令他信支，此有三種，謂正語、正業、正命。 四對治障支，亦有三種，謂正精進、正念、正定。	Others are instructed through utterances. correct speech, correct action, and correct livelihood. effort, correct mindfulness, and correct meditative concentration.
由此道支略四廣八。	In this way, the limbs of the path are elaborated in brief as four and in detail as eight.
何緣後二各分為三？	Why are the latter two each divided into three?
頌曰：   表見戒遠離，   令他深信受，   對治本隨惑，   及自在障故。	The verse reads as follows: Expression, morality, and detachment compel others to deeply believe, since they correct primary and secondary afflictions and the obstacles to mastery.
論曰：正語等三如次表已見戒遠離令他信受。	Commentary: The group of three, including correct speech and so forth, have already been presented respectively. Expression, morality, and detachment cause others to have faith.
謂由正語論議決擇，令他信知已有勝慧。	This means that one causes others to have faith and understanding through debate and resolution carried out with correct speech; hence, one comes to possess superior wisdom.
由正業故不作邪業，令他信知已有淨戒，由正命故應量應時如法乞求衣鉢等物，令他信已有勝遠離。	One leads others to faith and understanding by not carrying out mistaken activity, which results from correct action; and so one possesses pure morality. Leading others to faith through almsbegging in the prescribed manner in the proper proportions at the proper time with items such as robes and a bowl results from correct livelihood; hence one comes to possess superior detachment.
正精進等三如次對治本隨二煩惱及自在障。	The group of three, including correct effort and so forth, in said order correct the two types of afflictions (primary and secondary) as well as obstacles to mastery.
此所對治略有三種：一根本煩惱，謂修所斷；	What is corrected here is generally of three types:
二隨煩惱，謂惛沈掉舉； 三自在障，謂障所引勝品功德。	(1) root afflictions, that is, afflictions eliminated on [the path of] cultivation; (2) secondary afflictions, which refer to laxity and excitement; (3) Obstacles to freedom (mastery), Chapter Four which refer to obstructions to excellent qualities and superior merit that are to be brought about.
此中正精進別能對治初，為對治彼勤修道故。	Herein correct effort specifically corrects the first, since that is corrected as a result of diligent cultivation of the path.
正念別能對治第二，繫念安住止等相中，遠離惛沈及掉舉故。	Correct mindfulness specifically corrects the second, since fixed mindfulness and calm abiding, and being immersed in the signs of meditative absorption, etc., leads one far away from laxity and excitement.
正定別能對治第三，依勝靜慮速能引發諸神通等勝功德故。	Correct meditative concentration corrects the third, since one quickly brings about the supernormal knowledges and superior merits based on superior meditation.
修治差別云何應知？	How should the differences in the cultivation of antidotes be understood?
頌曰：   有倒順無倒，   無倒有倒隨，   無倒無倒隨，   是修治差別。	The verse reads as follows: These are the differences in the cultivation of antidotes: having cognitive distortion but conducive to not having cognitive distortion; not [directly] having cognitive distortions but having ancillary cognitive distortions; and having neither cognitive distortions nor ancillary cognitive distortions.
論曰：此修對治略有三種，一有顛倒順無顛倒、二無顛倒有顛倒隨、三無顛倒無顛倒隨。	Commentary: Here the antidotes to be cultivated are of three general types: (1) possessing cognitive distortion but conducive to the absence of cognitive distortion; (2) free from cognitive distortion but possessing cognitive distortion in accompaniment; (3) the absence of cognitive distortion as well as the absence of cognitive distortion in accompaniment.
如是三種修治差別，如次在異生、有學、無學位菩薩。 二乘所修對治有差別相，云何應知？	The differences in the three types of cultivated antidotes are as follows: ordinary beings, and the states of being engaged in or not being engaged in training. The antidotes cultivated by bodhisattvas and the two vehicles have their distinctive characteristics. How are they to be understood?
頌曰：   菩薩所修習，   由所緣作意，   證得殊勝故，   與二乘差別。	The verse reads as follows: That which the bodhisattva cultivates differs from the two vehicles on account of (1) objective supports, (2) mental orientation, and (3) realization of excellence. Commentary:
論曰：聲聞、獨覺以自相續身等為境而修對治；	(1) Śrāvakas and pratyekabuddhas cultivate antidotes with their own bodily continuums as objects.
菩薩通以自他相續身等為境而修對治。	Bodhisattvas cultivate antidotes taking bodily continuums belonging to themselves and others as objects.
聲聞獨覺於身等境，以無常等行相思惟而修對治；	(2) Śrāvakas and pratyekabuddhas cultivate antidotes with attention to the aspects of impermanence and so forth, the objects being their bodies, etc.
若諸菩薩於身等境，以無所得行相思惟而修對治。	Bodhisattvas cultivate antidotes with attention to aspects such as noncognition, the object being their bodies, etc.
聲聞獨覺修念住等，但為身等速得離繫；	(3) Śrāvakas and pratyekabuddhas cultivate the bases of mindfulness, etc. but just to quickly achieve release from bondage to the body etc.
若諸菩薩修念住等，不為身等速得離繫，但為證得無住涅槃。	Bodhisattvas cultivate the bases of mindfulness, etc. not to quickly achieve release from bondage to the body, etc. but only to realize nonabiding nirvana.
菩薩與二乘所修對治，由此三緣故而有差別。 修對治總義者，謂開覺修； 損減修； 瑩飾修； 發上修； 隣近修，謂隣近見道故； 證入修； 增勝修； 初位修； 中位修；	The antidotes cultivated by bodhisattvas and [those of] the two vehicles include these differences stemming from these three conditions.
後位修； 有上修； 無上修，謂所緣作意至得殊勝。	The general meaning of cultivating antidotes refers to the cultivation of awakening, the cultivation of elimination, the cultivation of adornment, the cultivation of elevation, the cultivation of approaching (referring to approaching the path of seeing), the cultivation of realization, the cultivation of excellence, cultivation in the beginning stages, cultivation in the middle stages, cultivation in the later stages, excellent cultivation, and unexcelled cultivation.
辯修分位品第五已說修對治，修分位云何？	These refer to the objects and mental orientation up to the attainment of the most excellent state.17 Chapter Five Discussion of the Stages of Practice Having explained the cultivation of antidotes, what of the stages of practice?
頌曰：   所說修對治，   分位有十八，   謂因、入、行、果、   作、無作、殊勝、   上、無上、解行、   入、出離、記、說、   灌頂及證得、   勝利、成所作。	The verses read as follows: The cultivated antidotes having been explained, the stages comprise eighteen: (1) the causal, (2) entry, (3) application, (4) fruition, (5) activity, (6) no activity, (7) excellence, (8) superior, (9) unexcelled, (10) resolute practice, (11) realization, (12) liberation, (13) assurance, (14) eloquence, (15) consecration, (16) consummation, (17) superior benefit, and (18) completion of activity.
論曰：如前所說修諸對治，差別分位有十八種。 一因位，謂住種性補特伽羅。 二入位，謂已發心。 三加行位，謂發心已，未得果證。	Commentary: As explained earlier, the antidotes to be cultivated are differentiated into eighteen types of stages: already been generated.
四果位，謂已得果。 五有所作位，謂住有學。 六無所作位，謂住無學。 七殊勝位，謂已成就諸神通等殊勝功德。	already been generated but the fruition of realization has yet to be attained. is still training. there is no more training. such as supernormal knowledges, etc.
八有上位，謂超聲聞等已入菩薩地。 九無上位，謂已成佛，從此以上無勝位故。 十勝解行位，謂勝解行地一切菩薩。 十一證入位，謂極喜地。 十二出離位，謂次六地。	grounds beyond the śrāvakas, etc. this there is no superior stage.
十三受記位，謂第八地。 十四辯說位，謂第九地。 十五灌頂位，謂第十地。 十六證得位，謂佛法身。 十七勝利位，謂受用身。 十八成所作位，謂變化身。	ground (bhūmi) of resolute practice. which refers to the eighth ground. (“dharma body”).
此諸分位差別雖多，應知略說但有三種。	(“enjoyment body”). (“emanation body”). Although the differences between these stages are many, it should be understood that in the general explanation there are only three types.
其三者何？	What are those three?
頌曰：   應知法界中，   略有三分位，   不淨、淨不淨、   清淨隨所應。	The verse reads as follows: One should understand that within experiential reality (dharmadhātu) there are in general three stages, namely, (1) impure, (2) pure and impure, and (3) pure, which correspond accordingly. Commentary:
論曰：於真法界位略有三，隨其所應攝前諸位。	There are, in brief, three stages of experiential reality, which according to circumstances encompass the aforementioned stages:
一不淨位，謂從因位乃至加行； 二淨不淨位，謂有學位； 三清淨位，謂無學位。	(1) the stage of impurity, which refers to the causal stage up to that of application; (2) purity and impurity, which refers to the stage in which there is still training; (3) the stage of purity, which refers to the stage in which there is no more training.
云何應知依前諸位差別建立補特伽羅？	How should one understand the positing of the pudgala (i.e., person) based on the differences between the aforementioned stages?
頌曰：   依前諸位中，   所有差別相，   隨所應建立，   諸補特伽羅。	The verse reads as follows: On the basis of the aforementioned stages exist all the differing characteristics. The pudgalas are posited accordingly.
論曰：應知依前諸位別相，如應建立補特伽羅，謂此住種性、此已發心等。	Commentary: One should understand, based on the aforementioned differing characteristics of the stages, that the pudgala is posited as appropriate: meaning that this one abides in a spiritual lineage, this one has generated the mind [of awakening], and so on.
修分位總義者，謂堪能位即種性位，發趣位即入加行位，不淨位、淨不淨位、清淨位、有莊嚴位、遍滿位謂遍滿十地故無上位。	Chapter Five The general meaning of the stages of cultivation is that the stage of one’s spiritual lineage is equivalent to the stage of one’s capacities. The stage of undertaking (i.e., undertaking the path to awakening) is entry into the stage of application, the stage of impurity, the stage of purity and impurity, the stage of purity, the stage of possessing ornaments, and the stage of encompassing, which refers to encompassing the ten grounds; hence it is the unexcelled stage.
辯中邊論卷中辯中邊論卷下世親菩薩造大唐三藏法師玄奘奉　詔譯辯得果品第六已辯修位，得果云何？	End of Part II of the Madhyāntavibhāga-bhāṣya Part III Chapter Six Discussion of the Attainments Having discussed the stages of practice, what are the attained results?
頌曰：   器說為異熟，   力是彼增上，   愛樂增長淨，   如次即五果。	The verse reads as follows: “Vessel” is explained as five results in this order: (1) maturation, (2) the power of which is compelling; (3) delighting, (4) increasing, and (5) purity. Commentary:
論曰：器謂隨順善法。	“Vessel” means maturation in accordance with wholesome phenomena.
異熟力謂由彼器增上力，令諸善法成上品性。	“Power” means the compelling power of that vessel, causing wholesome phenomena to become superior in quality.
愛樂謂先世數修善力，今世於善法深生愛樂。	“Delight” means the wholesome power cultivated repeatedly in past lives. In the present life one deeply produces delight in wholesome phenomena.
增長謂現在數修善力，令所修善根速得圓滿。	“Increasing” means repeatedly cultivating the power of wholesomeness in the present, making those wholesome roots that have been cultivated quickly attain perfection.
淨謂障斷，得永離繫。 此五如次即是五果：一異熟果、二增上果、三等流果、四士用果、五離繫果。	“Purity” means the elimination of obstacles and the attainment of permanent separation from them. The five results appear in the following order: (1) ripened result, (2) compelling result, (3) natural result, (4) cooperative result, (5) liberative result.
復次頌曰：   復略說餘果，   後後初數習，   究竟順障滅，   離勝上無上。	The verse reads as follows: Furthermore, we briefly explain the remaining results: (1) the successive, (2) the initial, (3) the habituated, (4) the ultimate, (5) the conforming, (6) cessation of obstacles, (7) liberation, (8) the excellent result, (9) the superior, and (10) the unexcelled.
論曰：略說餘果差別有十。	Commentary: There are in general ten distinctions with respect to the other results: to one’s spiritual lineage. dharmas. of applied training. longer necessary.
一後後果，謂因種性得發心果，如是等果展轉應知。 二最初果，謂最初證出世間法。 三數習果，謂從此後諸有學位。 四究竟果，謂無學法。 五隨順果，謂因漸次應知即是後後果攝。	be understood that this is included in the successive result.
六障滅果，謂能斷道即最初果，能滅障故說為障滅。	of severing, being the first result in which obstacles are extinguished; hence, it is called the extinguishment of obstacles.
七離繫果，謂即數習及究竟果，學無學位如次遠離煩惱繫故。 八殊勝果，謂神通等殊勝功德。	the final result, since the stages of training and nontraining in this sequence removes one distantly from the bondage of afflictions. such as supernormal knowledges, etc.
九有上果，謂菩薩地，超出餘乘未成佛故。	transcend the other vehicles [but where one has still] not attained buddhahood.
十無上果，謂如來地，此上更無餘勝法故。	since above this there is no other superior Dharma.
此中所說後六種果，即究竟等前四差別。	Herein the stated latter six results belong to the former four distinctions (the ultimate, etc.).
如是諸果但是略說，若廣說即無量果。	Such results are only explained in brief. If explained in detail there would be countless [results].
總義者，謂攝受故、差別故、宿習故、後後引發故、標故、釋故。	The general meaning of “result” refers to that stemming from the collected, differentiation, past habituation, successively impelling, prescriptive, and ascertained.
此中攝受者，謂五果。	Herein “collected” refers to the five results.
差別者，謂餘果。	“Differentiation” refers to the other results.
宿習者，謂異熟果。	“Past habituation” refers to matured results.
後後引發者，謂餘四果。	“Successive impelling” refers to the other four results.
標者，謂後後等四果。	“Prescriptive” refers to the four results (the successive, etc.).
釋者，謂隨順等六果，分別前四果故。	“Ascertained” refers to the six results (the conforming, etc.), since they differ from the earlier four results.
辯無上乘品第七已辯得果，無上乘今當說。	Chapter Seven Discussion of the Unexcelled Vehicle Having discussed the attained results, I will now explain the unexcelled vehicle.
頌曰：   總由三無上，   說為無上乘，   謂正行、所緣，   及修證無上。	The verse reads as follows: From the three types of unexcelled, the unexcelled vehicle is explained: being unexcelled in (1) correct practice, (2) its objective supports, and (3) cultivation of realization. Commentary:
論曰：此大乘中總由三種無上義故名無上乘。 三無上者，一正行無上、二所緣無上、三修證無上。	Here the Mahayana is called the unexcelled vehicle because of three meanings related to “unexcelled.” The three ways in which it is unexcelled are (1) unexcelled with respect to correct practice, (2) unexcelled with respect to its objective support (basis), (3) unexcelled with respect to the cultivation of realization.
此中正行無上者，謂十波羅蜜多行。	Herein “unexcelled in correct practice” refers to practice of the ten perfections.
此正行相云何應知？	How should the characteristics of correct practice be understood?
頌曰：   正行有六種，   謂最勝、作意、   隨法、離二邊、   差別、無差別。	The verse reads as follows: There are six kinds of correct practice: (1) the supreme, (2) through mental orientation, (3) in accord with Dharma, (4) free of the two extremes, (5) with differences, and (6) without differences.
論曰：即於十種波羅蜜多隨修差別有六正行，一最勝正行、二作意正行、三隨法正行、四離二邊正行、五差別正行、六無差別正行。	Commentary: With respect to the differences in performing the ten perfections, there are six types of correct practice: (1) excellent practice, (2) the correct practice of mental orientation, (3) the correct practice according with the Dharma, (4) the correct practice free from the two extremes, (5) the correct practice with differences, (6) the correct practice without differences.
最勝正行，其相云何？	What are the characteristics of supreme correct practice? The verses read as follows:
頌曰：   最勝有十二，   謂廣大、長時、   依處及無盡、   無間、無難性、   自在、攝、發起、   得、等流、究竟，   由斯說十度，   名波羅蜜多。	Supremacy includes twelve types: (1) that which is vast, (2) long-term, (3) the basis, (4) inexhaustible, (5) without gap (6) without difficulty, (7) mastery [over wealth], (8) reception, (9) initiative, (10) attainment, (11) natural results, and (12) final outcome. From these are explained the ten perfections, called the pāramitās. Commentary:
論曰：最勝正行有十二種，一廣大最勝、二長時最勝、三依處最勝、四無盡最勝、五無間最勝、六無難最勝、七自在最勝、八攝受最勝、九發起最勝、十至得最勝、十一等流最勝、十二究竟最勝。	Supreme correct action includes twelve types: (1) vast supremacy, (2) long-term supremacy, (3) the supremacy of the basis, (4) inexhaustible supremacy, (5) the supremacy without gap, (6) the supremacy of being free from difficulties, (7) the supremacy of mastery [over wealth], (8) the supremacy of reception, (9) the supremacy of initiative, (10) the supremacy of attainment, (11) the supremacy of natural results, (12) the supremacy of the final outcome.
此中廣大最勝者，終不欣樂一切世間富樂自在，志高遠故。	Herein “vast supremacy” results from ultimately not delighting in any unfettered worldly fortune, enjoyment, or eminence.
長時最勝者，三無數劫熏習成故。	“Long-term supremacy” results from the maturation of perfuming (i.e., karmic impressions) over three incalculable kalpas.
依處最勝者，普為利樂一切有情為依處故。	“Supremacy of the basis” results from the basis from which one extensively benefits all sentient beings.
無盡最勝者，迴向無上正等菩提無窮盡故。	“Inexhaustible supremacy” results from the inexhaustibility of dedication toward unexcelled perfect awakening.
無間最勝者，由得自他平等勝解，於諸有情發起施等波羅蜜多速圓滿故。	“Supremacy without gap” results from conviction in the equality of self and other, stemming from the swift consummation of perfections, such as initiating generosity and so forth in relation to sentient beings.
