善法經	The Discourse on Wholesome Qualities
若愚癡人犯戒不精進，生惡不善法，非梵行稱梵行，非沙門稱沙門，從剎利、梵志、居士、工師受信施衣服，彼愚癡人因是長夜不善不義，受惡法報，身壞命終，趣至惡處，生地獄中。	If an ignorant person violates the precepts and is lax, giving rise to evil and unwholesome states, not practicing the holy life though professing to practice it, not a renunciant though professing to be a renunciant, if he receives robes, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], then that ignorant person will, because of this unwholesome and unbeneficial [conduct], experience the fruits of his evil states for a long time. When the body breaks up and life ends, he will go to a bad realm of existence and be born in hell. 
是故汝等當觀自義、觀彼義、觀兩義，當作是念：『我出家學，不虛不空，有果有報，有極安樂，生諸善處而得長壽，受人信施衣被、飲食、床褥、湯藥，令諸施主得大福祐，得大果報，得大光明者。』當作是學。」	For this reason you should contemplate your own benefit, the benefit of others, and the benefit of both, reflecting thus: My leaving the household life to train is not in vain, not empty. It has results and fruits that are very agreeable, leading to a long life and to rebirth in good realms of existence. I accept from people, as offerings made in faith, robes, food and drink, bed and bedding, and medicine. May all those donors obtain great merit, great reward, great splendor! You should train like this. 
世尊復告諸比丘曰：「於意云何？若有力士以熱鐵鉗鉗開其口，便以鐵丸洞燃俱熾，著其口中，彼熱鐵丸燒脣，燒脣已燒舌，燒舌已燒齗，燒齗已燒咽，燒咽已燒心，燒心已燒腸胃，燒腸胃已下過，若從剎利、梵志、居士、工師受信施食無量眾味，何者為樂？」	The World-honored One further said to the monks: What do you think? If a strong man were to open one’s mouth with a pair of hot iron tongs and then were to place inside one’s mouth an iron ball that was all ablaze, intensely hot; and that hot iron ball were to burn the lips; and having burned the lips, it were to burn the tongue; and having burned the tongue, it were to burn the gums; and having burned the gums, it were to burn the throat; and having burned the throat, it were to burn the heart; and having burned the heart, it were to burn the stomach and intestines; and having burned the stomach and intestines, it were to come out below; or if, [instead,] one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], food with a countless variety of tastes—which [of these two] would be the more pleasurable?
時，諸比丘白曰：「世尊！ 若有力士以熱鐵鉗鉗開其口，便以鐵丸洞燃俱熾，著其口中，彼熱鐵丸燒脣，燒脣已燒舌，燒舌已燒齗，燒齗已燒咽，燒咽已燒心，燒心已燒腸胃，燒腸胃已下過，甚苦。	The monks answered: World-honored One, if a strong man were to open one’s mouth with a pair of hot iron tongs, and then were to place inside one’s mouth an iron ball that was all ablaze, intensely hot; and that hot iron ball were to burn the lips; and having burned the lips, it were to burn the tongue; and having burned the tongue, it were to burn the gums; and having burned the gums, it were to burn the throat; and having burned the throat, it were to burn the heart; and having burned the heart, it were to burn the stomach and intestines; and having burned the stomach and intestines, it were to come out below, that would be very painful.
世尊！若從剎利、梵志、居士、工師受信施食無量眾味，甚樂。 世尊！」	World-honored One, if one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], food with a countless variety of tastes, that, World-honored One, would be very pleasurable.
世尊告曰：「我為汝說，不令汝等學沙門失沙門道。	The World-honored One said: I tell you, while training as a renunciant, do not lose the path of the renunciant.
汝欲成無上梵行者，寧令力士以熱鐵鉗鉗開其口，便以鐵丸洞燃俱熾，著其口中，彼熱鐵丸燒脣，燒脣已燒舌，燒舌已燒齗，燒齗已燒咽，燒咽已燒心，燒心已燒腸胃，燒腸胃已下過，彼雖因此受苦或死，然不以是身壞命終，趣至惡處，生地獄中；	If you wish to perfect the holy life, it would be better if a strong man were to open one’s mouth with a pair of hot iron tongs, and then were to place inside one’s mouth an iron ball that was all ablaze, intensely hot; and that hot iron ball were to burn the lips; and having burned the lips, it were to burn the tongue; and having burned the tongue, it were to burn the gums; and having burned the gums, it were to burn the throat; and having burned the throat, it were to burn the heart; and having burned the heart, it were to burn the stomach and intestines; and having burned the stomach and intestines, it were to come out below. Although one would, because of that, experience suffering or even death, yet one would not, when the body breaks up and life ends, go to a bad realm of existence and be born in hell.
若愚癡人犯戒不精進，生惡不善法，非梵行稱梵行，非沙門稱沙門，從剎利、梵志、居士、工師受信施食無量眾味，彼愚癡人因是長夜不善不義，受惡法報，身壞命終，趣至惡處，生地獄中。	If an ignorant person violates the precepts and is lax, giving rise to evil and unwholesome states, not practicing the holy life though professing to practice it, not a renunciant though professing to be a renunciant, if he receives, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], food with a countless variety of tastes, then that ignorant person will, because of this unwholesome and unbeneficial [conduct], experience the fruits of his evil states for a long time. When the body breaks up and life ends, he will go to a bad realm of existence and be born in hell. 
是故汝等當觀自義、觀彼義、觀兩義，當作是念：『我出家學，不虛不空，有果有報，有極安樂，生諸善處而得長壽，受人信施衣被、飲食、床褥、湯藥，令諸施主得大福祐，得大果報，得大光明者。』當作是學。」	For this reason you should contemplate your own benefit, the benefit of others, and the benefit of both, reflecting thus: My leaving the household life to train is not in vain, not empty. It has results and fruits that are very agreeable, leading to a long life and to rebirth in good realms of existence. I accept from people, as offerings made in faith, robes, food and drink, bed and bedding, and medicine. May all those donors obtain great merit, great reward, great splendor! You should train like this.
世尊復告諸比丘曰：「於意云何？若有力士以鐵銅床洞燃俱熾，強逼使人坐臥其上，若從剎利、梵志、居士、工師受其信施床㯓臥具，何者為樂？」	The World-honored One further said to the monks: What do you think? If a strong man were to take an iron or copper bed that was all ablaze, intensely hot, and then force and compel one to sit or lie on it; or if one were to receive bedding, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes]—which [of these two] would be the more pleasurable?
時，諸比丘白曰：「世尊！若有力士以鐵銅床洞燃俱熾，強逼使人坐臥其上，甚苦。 世尊！	The monks answered: World-honored One, if a strong man were to take an iron or copper bed that was all ablaze, intensely hot, and then force and compel one to sit or lie on it, that would be very painful.
若從剎利、梵志、居士、工師受其信施床㯓臥具，甚樂。 世尊！」	World-honored One, if one were to receive bedding, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], that, World-honored One, would be very pleasurable.
世尊告曰：「我為汝說，不令汝等學沙門失沙門道。	The World-honored One said: I tell you, while training as a renunciant do not lose the path of the renunciant.
汝欲成無上梵行者，寧令力士以鐵銅床洞燃俱熾，強逼使人坐臥其上，彼雖因此受苦或死，然不以是身壞命終，趣至惡處，生地獄中；	If you wish to perfect the holy life, it would be better to have a strong man take an iron or copper bed that was all ablaze, intensely hot, and then force and compel one to sit or lie on it. Although one would, because of that, experience suffering or even death, yet one would not, when the body breaks up and life ends, go to a bad realm of existence and be born in hell.
若愚癡人犯戒不精進，生惡不善法，非梵行稱梵行，非沙門稱沙門，從剎利、梵志、居士、工師受其信施床㯓臥具，彼愚癡人因是長夜不善不義，受惡法報，身壞命終，趣至惡處，生地獄中。	If an ignorant person violates the precepts and is lax, giving rise to evil and unwholesome states, not practicing the holy life though professing to practice it, not a renunciant though professing to be a renunciant, if he receives bedding, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], then that ignorant person will, because of this unwholesome and unbeneficial [conduct], experience the fruits of his evil states for a long time. When the body breaks up and life ends, he will go to a bad realm of existence and be born in hell.
是故汝等當觀自義、觀彼義、觀兩義，當作是念：『我出家學，不虛不空，有果有報，有極安樂，生諸善處而得長壽，受人信施衣被、飲食、床褥、湯藥，令諸施主得大福祐，得大果報，得大光明者。』當作是學。」	For this reason you should contemplate your own benefit, the benefit of others, and the benefit of both, reflecting thus: My leaving the household life to train is not in vain, not empty. It has results and fruits that are very agreeable, leading to a long life and to rebirth in good realms of existence. I accept from people, as offerings made in faith, robes, food and drink, bed and bedding, and medicine. May all those donors obtain great merit, great reward, great splendor! You should train like this.
世尊復告諸比丘曰：「於意云何？	The World-honored One further said to the monks: What do you think?
若有力士以大鐵銅釜洞燃俱熾，撮舉人已，倒著釜中，若從剎利、梵志、居士、工師受信施房舍，泥治堊灑，窻戶牢密，爐火熅暖，何者為樂？」	If a strong man were to take a great cauldron, of iron or copper, all ablaze, intensely hot, and having taken hold of and lifted up a person, were to turn him upside down and place him in that cauldron; or if one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], a dwelling place, plastered with mud and painted with whitewash, with windows and doors, tight and secure, with a fireplace, warm and cozy —which [of these two] would be the more pleasurable?
時，諸比丘白曰：「世尊！若有力士以大鐵銅釜洞燃俱熾，撮舉人已，倒著釜中，甚苦。	The monks answered: World-honored One, if a strong man were to take a great cauldron, of iron or copper, all ablaze, intensely hot, and having taken hold of and lifted up a person, were to turn him upside down and place him in that cauldron, that would be very painful.
世尊！若從剎利、梵志、居士、工師受信施房舍，泥治堊灑，窻戶牢密，爐火熅暖，甚樂。 世尊！」	World-honored One, if one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], a dwelling place, plastered with mud and painted with whitewash, with windows and doors, tight and secure, with a fireplace, warm and cozy, that, World-honored One, would be very pleasurable.
世尊告曰：「我為汝說，不令汝等學沙門失沙門道。	The World-honored One said: I tell you, while training as a renunciant do not lose the path of the renunciant.
汝欲成無上梵行者，寧令力士以大鐵銅釜洞燃俱熾，撮舉人已，倒著釜中，彼雖因此受苦或死，然不以是身壞命終，趣至惡處，生地獄中；	If you wish to perfect the holy life, it would be better if a strong man were to take a great cauldron, of iron or copper, all ablaze, intensely hot, and having taken hold of and lifted up a person, were to turn him upside down and place him in that cauldron. Although one would, because of that, experience suffering or even death, yet one would not, when the body breaks up and life ends, go to a bad realm of existence and be born in hell.
若愚癡人犯戒不精進，生惡不善法，非梵行稱梵行，非沙門稱沙門，從剎利、梵志、居士、工師受信施房舍，泥治堊灑，窻戶牢密，爐火熅暖，彼愚癡人因是長夜不善不義，受惡法報，身壞命終，趣至惡處，生地獄中。	If an ignorant person violates the precepts and is lax, giving rise to evil and unwholesome states, not practicing the holy life though professing to practice it, not a renunciant though professing to be a renunciant, if he receives, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], a dwelling place, plastered with mud and painted with whitewash, with windows and doors, tight and secure, with a fireplace, warm and cozy, then that ignorant person will, because of this unwholesome and unbeneficial [conduct], experience the fruits of his evil states for a long time. When the body breaks up and life ends, he will go to a bad realm of existence and be born in hell. 
是故汝等當觀自義、觀彼義、觀兩義，當作是念：『我出家學，不虛不空，有果有報，有極安樂，生諸善處而得長壽，受人信施衣被、飲食、床褥、湯藥，令諸施主得大福祐，得大果報，得大光明者。』	For this reason you should contemplate your own benefit, the benefit of others and the benefit of both, reflecting thus: My leaving the household life to train is not in vain, not empty. It has results and fruits that are very agreeable, leading to a long life and to rebirth in good realms of existence. I accept from people, as offerings made in faith, robes, food and drink, bed and bedding, and medicine. May all those donors obtain great merit, great reward, great splendor!
當作是學。」說此法時，六十比丘漏盡結解，六十比丘捨戒還家。	You should train like this. As this teaching was being given, sixty monks were liberated from the fetters through cessation of the taints, [while another] sixty monks gave up the precepts and returned to household life.
所以者何？ 世尊教誡甚深、甚難，學道亦復甚深、甚難。	Why is that? The World-honored One’s teaching and admonishment was profound and very difficult, and training in the path is also profound and very difficult.
佛說如是。彼諸比丘聞佛所說，歡喜奉行。	This is what the Buddha said. Having heard the Buddha’s words, the monks were delighted and remembered them well.

善人往經	The Discourse on the Destination of a Good Person
我聞如是：一時，佛遊舍衛國，在勝林給孤獨園。	Thus have I heard:At one time the Buddha was staying at Sāvatthī, in Jeta’s Grove, Anāthapiṇḍika’s Park.
爾時，世尊告諸比丘：「我當為汝說七善人所往至處及無餘涅槃。諦聽，諦聽！ 善思念之。」時，諸比丘受教而聽。	At that time the World-honored One addressed the monks: I shall teach you about the seven destinations of good persons and about nirvana without remainder. Listen closely, listen closely and pay careful attention! The monks listened to receive instruction.
佛言：「云何為七？ 比丘行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	The Buddha said: What are the seven? A monk practices thus: There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; when it has been abandoned, equanimity will be attained; [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
如是行者，無上息迹慧之所見，然未得證。比丘行如是，往至何所？	Such a practitioner sees the unsurpassable state of peace through his wisdom, but has not yet attained [final] realization. Practicing thus, to which destination will such a monk go? 
譬如燒䴸，纔燃便滅。當知，比丘亦復如是，	It is just like a burning wheat husk which, having caught fire, quickly exhausts itself. You should know that this monk is like that.
少慢未盡，五下分結已斷，得中般涅槃，是謂第一善人所往至處，世間諦如有。	Having cut off the five lower fetters, but with a remnant of conceit not yet extinguished, he attains final nirvana [immediately after entering] the intermediate state of existence. This is the first destination of good persons, who are indeed to be found in the world.
復次，比丘行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	Again, a monk practices thus:There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; and when it has been abandoned, equanimity will be attained. [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
行如是者，無上息迹慧之所見，然未得證。比丘行如是，往至何所？	Such a practitioner sees the unsurpassable state of peace through his wisdom, but has not yet attained [final] realization. Practicing thus, to which destination will such a monk go?
譬若如鐵洞燃俱熾，以椎打之，迸火飛空，上已即滅。 當知，比丘亦復如是	It is just as when [a slab of] iron that is all ablaze, intensely hot, is hit with a hammer, a burning splinter flies up into the air, but on moving upward, becomes extinguished immediately. You should know that this monk is like that.
少慢未盡，五下分結已斷，得中般涅槃，是謂第二善人所往至處，世間諦如有。	Having cut off the five lower fetters, but with a remnant of conceit not yet extinguished, he attains final nirvana [after a short while spent in] the intermediate state of existence. This is the second destination of good persons, really to be found in the world.
復次，比丘！行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	Again, a monk practices thus: There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; and when it has been abandoned, equanimity will be attained. [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
行如是者，無上息迹慧之所見，然未得證。比丘行如是，往至何所？ 譬若如鐵洞燃俱熾，以椎打之，迸火飛空，從上來還，未至地滅。	Such a practitioner sees the unsurpassable state of peace through his wisdom, but has not yet attained [final] realization.Practicing thus, to which destination will such a monk go? It is just as when [a slab of] iron that is all ablaze, intensely hot, is hit with a hammer, a burning splinter flies up into the air, which, having moved upward comes back down, but becomes extinguished before hitting the ground.
當知，比丘亦復如是，少慢未盡，五下分結已斷，得中般涅槃，是謂第三善人所往至處，世間諦如有。	You should know that this monk is like that.Having cut off the five lower fetters, but with a remnant of conceit not yet extinguished, he attains final nirvana [after spending some time in] the intermediate state of existence. This is the third destination of good persons, really to be found in the world.
復次，比丘行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	Again, a monk practices thus: There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; and when it has been abandoned, equanimity will be attained. [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
行如是者，無上息迹慧之所見，然未得證。比丘行如是，往至何所？	Such a practitioner sees the unsurpassable state of peace through his wisdom, but has not yet attained [final] realization. Practicing thus, to which destination will such a monk go?
譬若如鐵洞然俱熾，以椎打之，迸火飛空，墮地而滅。 當知，比丘！	It is just as when [a slab of] iron that is all ablaze, intensely hot, is hit with a hammer, a burning splinter flies up into the air, and becomes extinguished on hitting the ground. You should know that this monk is like that.
亦復如是，少慢未盡，五下分結已斷，得生般涅槃，是謂第四善人所往至處，世間諦如有。	Having cut off the five lower fetters, but with a remnant of conceit not yet extinguished, he attains final nirvana in his next existence. This is the fourth destination of good persons, really to be found in the world.
復次，比丘行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	Again, a monk practices thus:There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; and when it has been abandoned, equanimity will be attained. [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
行如是者，無上息迹慧之所見，然未得證。	Such a practitioner sees the unsurpassable state of peace through his wisdom, but has not yet attained [final] realization.
比丘！ 行如是，往至何所？ 譬若如鐵洞燃俱熾，以椎打之，迸火飛空，墮少薪草上，若烟若燃，燃已便滅。	Practicing thus, to which destination will such a monk go?It is just as when [a slab of] iron that is all ablaze, intensely hot, is hit with a hammer, a burning splinter flies up into the air and then falls on a small amount of sticks and grass, causing it to smoke and burn, and becomes extinguished after that has burned out.
當知，比丘亦復如是，少慢未盡，五下分結已斷，得行般涅槃，是謂第五善人所往至處，世間諦如有。	You should know that this monk is like that.Having cut off the five lower fetters, but with a remnant of conceit not yet extinguished, he attains final nirvana with effort. This is the fifth destination of good persons, really to be found in the world.
復次，比丘！行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	Again, a monk practices thus: There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; and when it has been abandoned, equanimity will be attained. [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
行如是者，無上息迹慧之所見，然未得證。比丘行如是，往至何所？ 譬若如鐵洞燃俱熾，以椎打之，迸火飛空，墮多薪草上，若烟若燃，燃盡已滅。	Such a practitioner sees the unsurpassable state of peace through his wisdom, but has not yet attained [final] realization. Practicing thus, to which destination will such a monk go?It is just as when [a slab of] iron that is all ablaze, intensely hot, is hit with a hammer, a burning splinter flies up into the air and then falls on a large amount of sticks and grass, causing it to smoke and burn, and becomes extinguished after that has burned out.
當知，比丘亦復如是，少慢未盡，五下分結已斷，得無行般涅槃，是謂第六善人所往至處，世間諦如有。	You should know that this monk is like that. Having cut off the five lower fetters, but with a remnant of conceit not yet extinguished, he attains final nirvana without effort. This is the sixth destination of good persons. Such people are really to be found in the world.
復次，比丘行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	Again, a monk practices thus: There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; and when it has been abandoned, equanimity will be attained. [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
行如是者，無上息迹慧之所見，然未得證。比丘行如是，往至何所？	Such a practitioner sees the unsurpassable state of peace through his wisdom, but has not yet attained [final] realization. Practicing thus, to which destination will such a monk go?
譬若如鐵洞燃俱熾，以椎打之，迸火飛空，墮多薪草上，若烟若燃，燃已便燒村邑、城郭、山林、曠野。 燒村邑、城郭、山林、曠野已，或至道、至水、至平地滅。 當知，比丘！	It is just as when [a slab of] iron that is all ablaze, intensely hot, is hit with a hammer, a burning splinter flies up into the air and falls on to a large amount of sticks and grass, causing it to smoke and burn; and after that has burned, the fire spreads to villages, towns, mountain forests, and wilderness; and having burned out the villages, towns, mountain forests, and wilderness, it reaches a road, or reaches water, or reaches level ground, and becomes extinguished.
亦復如是，少慢未盡，五下分結已斷，得上流阿迦膩吒般涅槃，是謂第七善人所往至處，世間諦如有。	You should know that this monk is like that. Having cut off the five lower fetters, but with a remnant of conceit not yet extinguished, he [first] goes upstream [all the way] to the Akaniṭṭha realm where he attains final nirvana. This is the seventh destination of good persons, really to be found in the world.
云何無餘涅槃？	What is nirvana without remainder?
比丘行當如是：我者無我，亦無我所，當來無我，亦無我所，已有便斷，已斷得捨，有樂不染，合會不著。	A monk practices thus:There is no self, nor is there anything belonging to a self; in the future there will be no self and nothing belonging to a self. What has already come to exist will be abandoned; and when it has been abandoned, equanimity will be attained. [I shall be] neither defiled by delight in existence nor attached to contact [through the senses].
行如是者，無上息迹慧之所見，而已得證。我說彼，比丘！ 不至東方，不至西方、南方、北方、四維、上、下，便於現法中息迹滅度。 「我向所說七善人所往至處及無餘涅槃者，因此故說。」	Such a practitioner sees the unsurpassable state of peace through his wisdom.Having attained [final] realization, I say, that monk will not go to the east, nor to the west, nor to the south, nor to the north, nor to [any of] the four intermediate directions, nor above, nor below, but will attain the state of peace, final nirvana, right here and now.When I said earlier, I shall teach you about the seven destinations of good persons and about nirvana without remainder, it was on account of this that I said it.
佛說如是。彼諸比丘聞佛所說，歡喜奉行。	This is what the Buddha said. Having heard the Buddha’s words, the monks were delighted and remembered them well.

世間福經	The Discourse on [Sources of] Worldly Merit
我聞如是：一時，佛遊拘舍彌，在瞿沙羅園 	Thus have I heard: At one time the Buddha was staying at Kosambī, in Ghosita’s park.
爾時，尊者摩訶周那則於晡時從宴坐起，往詣佛所，到已作禮，却坐一面，白曰：「世尊！可得施設世間福耶？ 」	At that time, in the late afternoon, Venerable Mahā Cunda rose from sitting in meditation and approached the Buddha. On arriving, he paid his respects and, sitting to one side, said: World-honored One, is it possible to describe [the nature of] worldly merit?
世尊告曰：「可得。 周那！有七世間福，得大福祐，得大果報，得大名譽，得大功德。	The World-honored One answered: It is possible, Cunda. There are seven [sources of] worldly merit that lead to great merit, great reward, great reputation, and great benefit.
云何為七？	What are the seven?
周那！ 有信族姓男、族姓女，施比丘眾房舍、堂閣。	Cunda, a faithful son or daughter of good family offers a dwelling place or an assembly hall to the community of monks.
周那！ 是謂第一世間之福，得大福祐，得大果報，得大名譽，得大功德。	This, Cunda, is the first [source] of worldly merit that leads to great merit, great reward, great reputation, and great benefit.
「復次，周那！ 有信族姓男、族姓女，於房舍中施與床座、氍𭯫、𣯾𣰆、氈褥、臥具。	Again, Cunda, a faithful son or daughter of good family offers [to those] in that dwelling place beds, seats, woolen blankets, felt mattresses, or bedding.
周那！ 是謂第二世間之福，得大福祐，得大果報，得大名譽，得大功德。 	This, Cunda, is the second [source] of worldly merit that leads to great merit, great reward, great reputation, and great benefit.
復次，周那！有信族姓男、族姓女，於房舍中施與一切新淨妙衣。	Again, Cunda, a faithful son or daughter of good family offers to all [those] in that dwelling place new, clean robes of superior quality.
周那！是謂第三世間之福，得大福祐，得大果報，得大名譽，得大功德。 	This, Cunda, is the third [source] of worldly merit that leads to great merit, great reward, great reputation, and great benefit.
復次，周那！有信族姓男、族姓女，於房舍中常施於眾朝粥、中食，又以園民供給使令，若風雨寒雪，躬往園所，增施供養。 諸比丘眾食已，不患風雨寒雪沽漬衣服，晝夜安樂禪寂思惟。	Again, Cunda, a faithful son or daughter of good family constantly offers to the community in that dwelling place morning rice gruel and the midday meal … provides monastic park attendants to serve them … personally approaches the monastic park to make still more offerings, regardless of wind or rain, cold or snow … [ensures that after] the monks have eaten, their robes do not get soaked by wind or rain, cold or snow, [so that they can] enjoy meditation and quiet reflection by day and by night.
周那！是謂第七世間之福，得大福祐，得大果報，得大名譽，得大功德。	This, Cunda, is the seventh [source] of worldly merit that leads to great merit, great reward, great reputation, and great benefit.
周那！信族姓男、族姓女已得此七世間福者，若去若來，若立若坐，若眠若覺，若晝若夜，其福常生，轉增轉廣。	Cunda, a faithful son or daughter of good family who has attained these seven [sources] of worldly merit, whether going or coming, whether standing or sitting, whether sleeping or awake, whether by day or by night, their merit will continuously grow, increase, and become more extensive.
周那！譬如恒伽水，從源流出，入于大海，於其中間轉深轉廣。 周那！ 如是信族姓男、族姓女已得此七世間福者，若去若來，若立若坐，若眠若覺，若晝若夜，其福常生，轉增轉廣。」	Cunda, just as, from its emergence at its source to its entry into the great ocean, the river Ganges becomes increasingly deep and increasingly wide, in the same way, Cunda, the merit of a faithful son or daughter of good family who has attained these seven [sources] of worldly merit, whether going or coming, whether standing or sitting, whether sleeping or awake, whether by day or by night, will continuously grow, increase, and become more extensive.
於是，尊者摩訶周那即從坐起，偏袒右肩，右膝著地，長跪叉手白曰：「世尊！ 可得施設出世間福耶？」	Thereupon, Venerable Mahā Cunda rose from his seat and, having bared his right shoulder, knelt with his right knee on the ground and, placing his palms together [in respect], said: World-honored One, is it possible to describe [the nature of] merit that transcends the world? The World-honored One answered:
世尊告曰：「可得。周那！ 更有七福出於世間，得大福祐，得大果報，得大名譽，得大功德。	It is possible, Cunda. There are also seven [sources of] merit transcending the world that lead to great merit, great reward, great reputation, and great benefit.
云何為七？	What are the seven?
周那！有信族姓男、族姓女，聞如來、如來弟子遊於某處，聞已歡喜，極懷踊躍。	Cunda, a faithful son or daughter of good family hears that the Tathāgata or a disciple of the Tathāgata is staying in a certain place. Having heard this, they are delighted and supremely inspired.
周那！ 是謂第一出世間福，得大福祐，得大果報，得大名譽，得大功德。	This, Cunda, is the first [source] of merit transcending the world that leads to great merit, great reward, great reputation, and great benefit.
復次，周那！有信族姓男、族姓女，聞如來、如來弟子欲從彼至此，聞已歡喜，極懷踊躍。	Again, Cunda, a faithful son or daughter of good family hears that the Tathāgata or a disciple of the Tathāgata intends to come from there to here. Having heard this, they are delighted and supremely inspired.
周那！ 是謂第二出世間福，得大福祐，得大果報，得大名譽，得大功德。	This, Cunda, is the second [source] of merit transcending the world that leads to great merit, great reward, great reputation, and great benefit.
復次，周那！有信族姓男、族姓女，聞如來、如來弟子已從彼至此，聞已歡喜，極懷踊躍，以清淨心躬往奉見，禮敬供養，既供養已，受三自歸於佛、法及比丘眾，而受禁戒。	Again, Cunda, a faithful son or daughter of good family hears that the Tathāgata or a disciple of the Tathāgata has come from there to here. Having heard this, they are delighted and supremely inspired … they personally go to see them and pay their respects with a pure mind … they present offerings to them … having paid their respects and presented offerings, they perform the threefold taking of refuge in the Buddha, the Dharma, and the community of monks (Sangha) … they take the precepts.
周那！是謂第七出世間福，得大福祐，得大果報，得大名譽，得大功德。	This, Cunda, is the seventh [source] of merit transcending the world that leads to great merit, great reward, great reputation, and great benefit.
周那！信族姓男、族姓女若得此七世間之福及更有七出世間福者，其福不可數，有爾所福，爾所福果，爾所福報，唯不可限、不可量、不可得大福之數。	Cunda, if a faithful son or daughter of good family attains these seven [sources] of worldly merit and also these seven [sources] of merit transcending the world, their merit cannot be measured [in terms of] so much merit, so much fruit of merit, so much result of merit; it just cannot be encompassed, cannot be measured. This great merit cannot be calculated.
周那！ 譬如從閻浮洲有五河流：一曰恒伽，二曰搖尤那，三曰舍勞浮，四曰阿夷羅婆提，五曰摩企，流入大海，於其中間水不可數，有爾所升斛，唯不可限，不可量、不可得大水之數。	Cunda, it is just as in [this land of] Jambudīpa there are five rivers, the Ganges being reckoned the first, the Yamunā the second, the Sarabhū the third, the Aciravatī the fourth, and the Mahī the fifth; and upon flowing into the great ocean, once within it, their water cannot be measured as so many gallons; it just cannot be encompassed, cannot be measured.
周那！如是信族姓男、族姓女若得此七世間之福及更有七出世間福者，其福不可數，有爾所福，爾所福果，爾所福報，唯不可限、不可量、不可得大福之數。」	This great water cannot be calculated. In the same way, Cunda, if a faithful son or daughter of good family attains these seven [sources of] worldly merit and again these seven [sources of] merit transcending the world, that merit cannot be measured as so much merit, so much fruit of merit, so much result of merit; it just cannot be encompassed, cannot be measured. This great merit cannot be calculated.
爾時，世尊而說頌曰：  「恒伽之河，  清淨易渡，  海多珍寶，  眾水中王。猶若河水，  世人敬奉，	Then the World-honored One spoke these verses: The river Ganges is pure and easily crossed, The ocean, with its many treasures, is king of all waters. Like the river’s water is the honor and respect of people in the world.
諸川所歸，  引入大海。 如是人者，  施衣飲食，  床㯓茵褥，  及諸坐具。 無量福報，  將至妙處，  猶若河水，  引入大海。」	[Just as] all rivers reach and enter the great ocean, So it is with people who offer robes, food and drink, Beds, couches, bedding, and seats, Measureless is the fruit of their merit, leading them to a sublime realm, Just like the rivers’ water entering the great ocean.
佛說如是。尊者摩訶周那及諸比丘，聞佛所說，歡喜奉行。	This is what the Buddha said. Venerable Mahā Cunda and the [other] monks heard the Buddha’s words, were delighted, and remembered them well.


七日經	The Discourse on Seven Suns
我聞如是：一時，佛遊鞞舍離，在㮈氏樹園。	Thus have I heard: At one time the Buddha was staying at Vesālī, in Ambapālī’s Grove.
