大般涅槃經卷第一北涼天竺三藏曇無讖譯壽命品第
一如是我聞：	Thus have I heard.
爾時佛告魔波旬言：「我不受汝飲食供養，我已受汝所說神呪，為欲安樂一切眾生、四部眾故。」	At that moment the Buddha said these words to Mara Papiyas: I cannot accept your offerings of food and drink. But I have accepted the mystical mantra that you have explained, for I want serene bliss for all living beings, including the four groups [of my followers] : monks, nuns, laymen, and laywomen.
佛說是已，默然不受。	After explaining this, the Buddha grew silent and accepted nothing further.
如是三請，皆亦不受。	Mara pleaded with the Buddha three times in the same way, but was refused each time.
時魔波旬，不果所願，心懷愁惱，却住一面。	His desires unfulfilled, Mara Papiyas felt disheartened and withdrew to take his place off to one side.
爾時大自在天王與其眷屬無量無邊，及諸天眾，所設供具，悉覆梵、釋、護世四王、人天八部、及非人等所有供具。	At that time Heavenly King Mahesvara and his retinue of limitless, innumerable gods prepared offerings the scope of which went beyond what had already been provided by Brahma, Indra, the Four Guardian Deities, humans, gods, the eight types of beings, and nonhumans.
梵釋所設，猶如聚墨在珂貝邊，悉不復現。	The offerings of Brahma and Indra now seemed like a series of black [lines] on the edge of a seashell that is not fully visible.
寶蓋小者能覆三千大千世界。	The smallest of their jeweled umbrellas were capable of covering the entire great trichiliocosm.
持如是等供養之具，來詣佛所，稽首佛足，遶無數匝，白佛言：	Bringing their offerings to where the Buddha resided, they made obeisance at his feet and then circumambulated him countless times before speaking:
「世尊！我等所獻微末供具，喻如蚊子供養於我，亦如有人以一掬水投於大海，然一小燈助百千日，春夏之月眾花茂盛，有持一花益於眾花，以亭歷子益須彌山，豈當有益大海、日明、眾花、須彌。	World-Honored One, what we respectfully present to you is trivial, something like what a mosquito might present to one of us, or like a man throwing a scoop of water into the ocean, or lighting one small lantern to add light to that of one hundred thousand suns, or bringing a single flower to increase the bounty of flowers blooming in the spring and summer months, or increasing the size of Mount Sumeru by adding a mustard seed to it. How could one increase the ocean, the sun's brightness, a field of flowers, or Mount Sumeru?
世尊！ 我今所奉微末供具，亦復如是。	World-Honored One, the insignificance of what we provide by way of offerings is much the same.
若以三千大千世界滿中香花、伎樂、幡蓋，供養如來，尚不足言。	Even if we were to offer to the Tathagata oblations of incense, flowers, theatrical performances, banners, and umbrellas enough to fill the great trichiliocosm, they would still not be worth mentioning.
何以故？ 如來為諸眾生，常於地獄、餓鬼、畜生諸惡趣中，受諸苦惱。	Because [we know] the Tathagata is perpetually concerned with taking up the suffering of living beings in the unfortunate hell, hungry ghost, and animal realms.
是故世尊！ 應見哀愍，受我等供。」	For this reason, World-Honored One, we hope that you may look upon us with pity and take up our offerings.
爾時東方去此無量無數阿僧祇恒河沙數微塵等世界，彼有佛土，名意樂美音，佛號虛空等如來、應供、正遍知、明行足、善逝、世間解、無上士、調御丈夫、天人師、佛、世尊。 爾時彼佛即告第一大弟子言：	At that time there was a buddha land in the eastern direction beyond infinitesimal worlds as numerous as the sands of immeasurable, endless asafTlkhyeya Ganges Rivers. This buddha land was called Mind-Pleasing Beautiful Sound (Manorama-madhurasvara), and the buddha there was known as Equal to Space (Akasasama), Tathagata, Worthy of Offerings, of Right and Universal Knowledge, with Clarity and Conduct Perfect, Well-Gone, with Understanding of the World, Unsurpassed Worthy, Tamer of Men, Teacher of Gods and Humans, Buddha World-Honored One. At that time, the buddha Equal to Space said to his chief disciple:
「善男子！汝今宜往西方娑婆世界，彼土有佛，號釋迦牟尼如來、應供、正遍知、明行足、善逝、世間解、無上士、調御丈夫、天人師、佛、世尊，彼佛不久當般涅槃。	Good man, you should go now to that world in the west known as Saha. In that world there is a buddha known as S akyamuni, Tathagata, Worthy of Offerings, of Right and Universal Knowledge, with Clarity and Conduct Perfect, Well-Gone, with Understanding of the World, Unsurpassed c Worthy, Tamer of Men, Teacher of Gods and Humans, Buddha WorldHonored One. It will not be long before this buddha will pass into extinction.
善男子！汝可持此世界香飯——其飯香美，食之安隱——可以此食，奉獻彼佛世尊，世尊食已，入般涅槃。	Good man, you should take him fragrant dishes of food from this world. The food should be aromatic and attractive in appearance, and when eaten should bring peace and comfort. Present this food to that world-honored buddha. When that world-honored one has eaten it, he will enter parinirvana.
善男子！并可禮敬，請決所疑。」	Good man, you must also show him your deepest reverence and entreat him to resolve your doubts.
爾時無邊身菩薩摩訶薩即受佛教，從座而起，稽首佛足，右遶三匝，與無量阿僧祇菩薩俱，從彼國發，來至此娑婆世界。	Then, having thus received that buddha's teaching, the bodhisattva-mahasattva Anantakaya rose from his seat, bowed down to the feet of his buddha, and circumambulated him three times with his right shoulder facing the buddha. Then, together with innumerable asamkhyeya of bodhisattvas, he embarked from that land and came to this Saha world.
應時此間三千大千世界大地，六種震動。	In response to the occasion, the continents of the great trichiliocosm shook in six different ways.
於是眾中，梵、釋、四天王、魔王波旬、摩醯首羅，如是大眾，見是地動，舉身毛竪，喉舌枯燥，驚怖戰慄，各欲四散。	Everyone assembled there, such as Brahma, Indra, the Four Guardian Deities, Mara Papiyas, and Mahesvara, saw the earth move, felt the hair on their bodies stand up, and their throats become dry. They trembled with fright, each wanting to flee in a different direction.
自見其身，無復光明，所有威德，殄滅無餘。	Looking at themselves, they noticed that they no longer radiated light; in fact their spiritual powers had vanished without a trace.
是時文殊師利法王子，即從座起，告諸大眾：	At that moment Manjusri, the Dharma Prince, rose from his seat and spoke to the huge crowd:
「諸善男子！汝等勿怖，汝等勿怖。 何以故？	Good men, have no fear, have no fear!
東方去此無量無數阿僧祇恒河沙微塵等世界，有世界名意樂美音，佛號虛空等如來、應、正遍知，十號具足，彼有菩薩名無邊身，與無量菩薩，欲來至此供養如來。	Because to the east of here beyond infinitesimal worlds as numerous as the sands of immeasurable uncountable asafJlkhyeya Ganges Rivers there is a world called Mindpleasing Beautiful Sound. The buddha there is called Equal to Space, Tathagata, Worthy of Offerings, of Right and Universal Knowledge, and indeed all the ten epithets of a buddha. There is also a bodhisattva there called Anantakaya who, together with innumerable other bodhisattvas, wishes to come here to make offerings to the Tathagata.
以彼菩薩威德力故，令汝身光悉不復現。	It is because of the spiritual power of this bodhisattva that your body's illumination is no longer visible.
是故汝等應生歡喜，勿懷恐怖。」	You should therefore be joyful at what has happened, rather than fearful.
爾時大眾，悉皆遙見彼佛大眾，如明鏡中自觀己身。	Then the great assembly looked off into the distance and saw the approach of that other buddha's great assembly. It was as if they were looking at their own images reflected in a giant mirror.
時文殊師利復告大眾：「汝今所見彼佛大眾，如見此佛。	At that point, Manjusri addressed the crowd once more : What you now see is the great assembly of that buddha, just as you see this buddha.
以佛神力，復當如是得見九方無量諸佛。」	By means of the supernatural powers of the buddhas you will now be able to see all the countless buddhas in the other nine directions.
爾時大眾各相謂言：「苦哉，苦哉！	But the great assembly then remarked to each other, Dreadful, positively dreadful.
世間空虛空虛，如來不久當般涅槃。」	The world is hollow! The Tathagata will soon pass into parinirvana. 
是時大眾一切悉見無邊身菩薩及其眷屬，林樹花果茂盛，微風吹動出微妙音，其聲和雅，猶如天樂。	Then everyone in the crowd saw the bodhisattva Anantakaya and his retinue approach. 
是菩薩身，一一毛孔，各各出生一大蓮花，一一蓮花各有七萬八千城邑，	From each and every pore on that bodhisattva's body there arose a large lotus flower, and in each and every lotus flower there were seventy-eight thousand towns. 
縱廣正等如毘耶離城，	In length and width each town was equal to that of Vaisaa.
牆壁諸塹七寶雜廁，多羅寶樹七重行列，	They had walls and moats with the seven precious things scattered throughout, and seven rows of bejeweled palmyra trees.
人民熾盛安隱豐樂，	The people there were prosperous, lived in peace and security, enjoyed abundant provisions, and were happy.
閻浮檀金以為却敵，一一却敵，各有種種七寶，	Gold from the lamba River was used for the coping of the gate towers, and upon each grew a variety of groves of trees of the seven precious things.
林樹花果茂盛，微風吹動出微妙音，其聲和雅，猶如天樂。	These produced flowers and fruit in abundance, which produced a subtle and marvelous sound whenever they were stirred by the wind.
城中人民，聞是音聲，即得受於上妙快樂。 是諸塹中，妙水盈滿，清淨香潔如真琉璃。	This sound was so elegant as to seem like heavenly music, and it gave a sublime sense of pleasure to the people in the city when they heard it.The moats brimmed with superb water that was clear, pure, fragrant, and clean like pure vaidurya.
是諸水中有七寶船，諸人乘之遊戲澡浴，共相娛樂，快樂無極。	In those waters were boats with the seven precious things in which people rode, at times playing and bathing in the water, enj oying themselves in endless amusement.
復有無量雜色蓮花，優鉢羅花、拘物頭花、波頭摩花、分陀利花，其花縱廣猶如車輪。	There were also lotus flowers of an innumerable variety of colors, such as the blue, yellow, red, and white, and the diameter of each was the size of a cartwheel.
其塹岸上，多有園林，一一園中有五泉池，是諸池中復有諸花，優鉢羅花、拘物頭花、波頭摩花、分陀利花，	On the banks of the moats were many parks with trees, and within each park were five natural ponds. There were also flowers growing within these ponds, namely blue, yellow, red, and white lotuses.
其花縱廣亦如車輪，香氣馚馥，甚可愛樂。	They, too, were as big as cartwheels, their odor richly fragrant, and these flowers were loved by everyone.
其水清淨柔軟第一，鳧鴈鴛鴦遊戲其中。	The water in the ponds was clear and as soft as could be, and wild ducks, wild geese, and mandarin ducks frolicked in it. Each of these parks also had a jeweled villa.
其園各有眾寶宮宅，一一宮宅縱廣正等滿四由旬，所有牆壁四寶所成，所謂金銀琉璃頗梨，真金為嚮，周匝欄楯，	The length and width of each of these villas were fully four yojanas in size, with walls constructed of the four precious stones: gold, silver, vaidurya, and crystal. Pure gold formed the edge on the perimeter fences.
玫瑰為地，金沙布上。是宮宅中，多有七寶流泉浴池，	The ground was made of quartz with gold dust covering it. Within the villas were numerous seven-jeweled bathing ponds filled with water flowing from springs. 
一一池邊，各有十八黃金梯陛，閻浮檀金為芭蕉樹，如忉利天歡喜之園。	On the edge of each bathing pond was a golden stairway of eighteen steps [lined with] banana trees made of gold from the Jamba River, and the whole scene resembled the pleasure gardens in the Trayastrimsa Heaven.
是一一城，各有八萬四千人王，一一諸王，各有無量夫人、婇女，共相娛樂，歡喜受樂。	In each town were human kings numbering eighty-four thousand. Each king had innumerable numbers of consorts and female attendants, with whom the king enjoyed and amused himself happily.
其餘人民，亦復如是，各於住處，共相娛樂。	The other people were similarly [happy], each enjoying himself in his respective abode.
是中眾生，不聞餘名，純聞無上大乘之聲。	Here living beings did not hear of anything else of reknown-they listened solely to the sound of the unsurpassed Mahayana.
是諸花中，一一各有師子之座，其座四足皆紺琉璃，柔軟素衣以布座上，其衣微妙出過三界。	Within each flower there was also a lion's seat, the four legs of which were all constructed of dark blue vaidurya.
一一座上，有一王坐，以大乘法教化眾生，	Laid on each of these seats was a soft, white fabric more exquisite than anything in the triple world. On each of these seats sat a king who educated living beings by means of the Mahayana teachings.
或有眾生書持、讀誦，如說修行，如是流布大乘經典。	The living beings in attendance engaged in copying, reading and reciting, and practicing what was expounded to them. By doing so they helped spread the Mahayana scriptures.
爾時無邊身菩薩，安止如是無量眾生，於自身已令捨世樂，皆作是言：	At that time the bodhisattva Anantakaya pacified the uncountable number of living beings [in the lotus flowers], by moving them to abandon their pursuit of worldly pleasures by themselves. And yet they [too] all exclaimed,
「苦哉，苦哉！世間空虛，如來不久當般涅槃。」	 Dreadful, positively dreadful. The world is hollow! The Tathagata will soon pass into parinirvana.
爾時無邊身菩薩，與無量菩薩周匝圍遶，示現如是神通力已，持是種種無量供具，及以上妙香美飲食，若有得聞是食香氣，煩惱諸垢皆悉消滅。	Then the bodhisattva Anantakaya together with the innumerable other bodhisattvas that surrounded him, manifested his supernatural powers by bringing a variety of offerings, immeasurable b in scope, including superbly fragrant and attractive food and drink, and announced that anyone who could smell the aroma of these foods would have the stains of all their defilements eliminated.
以是菩薩神通力故，一切大眾悉皆得見如是變化。	And by means of his supernatural powers as a bodhisattva, all the living beings [present] were indeed able to see these miraculous transformations.
無邊身菩薩身大無邊、量同虛空，唯除諸佛，餘無能見是菩薩身其量邊際。	But the body of the bodhisattva Anantakaya was limitless in size, fully as large as space itself, so, with the exception of the buddhas, no one else was able to see the end point of this bodhisattva's body.
爾時無邊身菩薩及其眷屬，所設供養倍勝於前，來至佛所，稽首佛足，合掌恭敬白佛言：	It was then that the bodhisattva Anantakaya and his retinue took their prepared offerings-twice what had been brought previously-and brought them to where the Buddha was. Making obeisance at his feet, they placed their palms together in reverence and addressed the Buddha, saying,
「世尊！ 唯願哀愍，受我等食。 」如來知時，默然不受。 如是三請，悉亦不受。	World-Honored One, all we ask is that you take pity on us and accept our food. But the Tathagata understood the occasion and remained silent, not accepting the offering. Thus he was asked three times, but never accepted.
爾時無邊身菩薩及其眷屬，却住一面。	Then the bodhisattva Anantakaya and his retinue withdrew and remained off to one side.
南西北方諸佛世界，亦有無量無邊身菩薩，所持供養倍勝於前，來至佛所，乃至却住一面，皆亦如是。	In the southern, western, and northern directions there were other buddha realms from which innumerable other bodhisattvas of incalculable, boundless size also came, bearing offerings that were twice what had been brought previously. Entering into the august presence of the Buddha, they also ended up withdrawing off to one side, like everyone else.
爾時娑羅雙樹吉祥福地，縱廣三十二由旬，大眾充滿，間無空缺。	At that time, the auspicious and felicitous ground of the sal forest was completely filled by the enormous crowd that had now gathered, and even though the forest measured thirty-two yojanas in both length and width, there was not an empty space to be found.
爾時四方無邊身菩薩及其眷屬所坐之處，或如錐頭、針鋒、微塵，	The only space where all the boundless body (anantakaya) bodhisattvas of the four directions and their retinues could sit were often no bigger than the head of an awl, the point of a needle, or a speck of dust.
十方如微塵等諸佛世界諸大菩薩，悉來集會，及閻浮提一切大眾，亦悉來集——唯除尊者摩訶迦葉、阿難二眾，阿闍世王及其眷屬	Nonetheless, all the great bodhisattvas of the many buddha realms in all the ten directions, even as small as specks of dust, came and were now assembled, and all living beings in Jambudvipa had come as well. The only exceptions were the two groups associated with Venerable Mahakasyapa and Venerable Ananda, as well as King Ajatasatru and his retinue. 
——乃至毒蛇，視能殺人蜣蜋、蝮蝎，及十六種行惡業者，一切來集。	Poisonous snakes that can kill a man on sight, dung beetle vipers, scorpions, and people who have committed the sixteen evil acts--even all these were assembled there.
陀那婆神、阿修羅等，悉捨惡念，皆生慈心，如父、如母、如姊、如妹； 三千大千世界眾生，慈心相向，亦復如是，除一闡提。	The danavas and asuras completely put aside their harmful thoughts, and instead they all produced minds of compassion. Like fathers, like mothers, like elder sisters, and like younger sisters, all living beings in the great trichiliocosm looked upon each other with the same attitude of compassion, with the exception of the icchantikas.
爾時三千大千世界，以佛神力故，地皆柔軟，無有丘墟、土沙、礫石、荊棘、毒草，眾寶莊嚴，猶如西方無量壽佛極樂世界。	 At that time the ground in all worlds of this great trichiliocosm became soft due to the spiritual authority of the Buddha. There were no more hills, wastelands, sand, gravel, rocks, thorns, or poisonous plants. The land became so adorned with precious stones that it resembeled the Sukhavati Western Paradise of Amitayus Buddha.
是時大眾悉見十方如微塵等諸佛世界，如於明鏡自觀己身，見諸佛土亦復如是。	At this point everyone in the great assembly was able to see the buddha lands (buddhaksetras) of the ten directions like so many specks of dust. As clear as if they were seeing their own image in a mirror, that is how well they were able to see the buddha lands.
爾時如來面門所出五色光明，其光明曜覆諸大會，令彼身光，悉不復現；	Then a five-colored ray of light began to shine from the Tathagata's mouth. The light was so bright that it permeated the entire congregation, rendering the bodily radiance given off by others no longer visible.
所應作已，還從口入。	After serving its purpose, the light returned to the Buddha's mouth from which it had come and disappeared.
時諸天人及諸會眾，阿修羅等，見佛光明，還從口入，皆大恐怖，身毛為竪，復作是言：「如來光明出已還入，非無因緣，必於十方所作已辦，	When the assembled gods, humans, and asuras saw the Buddha's light return and enter his mouth, they were all seized with fear, the hair on their bodies standing on end. They said: This shining forth and returning of the light from the Tathagata must not be without reason. It is certain that he has now taken care of what he needs to do in the ten directions.
將是最後涅槃之相。 何期苦哉，何期苦哉！如何？	The sign of the final nirvana, what will it be? What will it be?
世尊一旦捨離四無量心，不受人天所奉供養，聖慧日光從今永滅，無上法船於斯沈沒。	Why would the World-Honored One suddenly abandon the four immeasurable minds and refuse to accept the oblations offered by both humans and deities? From now on, the sunlight of sacred wisdom will be extinguished forever. The ship of the all-encompassing dharma will hereby sink!
嗚呼痛哉，世間大苦。」	Ah, how depressing! The world is to be engulfed in suffering!
舉手搥胸，悲號啼哭，支節戰動，不能自持，身諸毛孔流血灑地。	With their hands they pounded their chests and cried out in a sad lament. Their limbs trembled and they were not able to support themselves. Blood flowed from their pores, spilling on to the earth.
爾時會中有優婆塞，是拘尸那城工巧之子，名曰純陀，與其同類十五人俱。為令世間得善果故，捨身威儀，從座而起，	At that time there was a lay follower in the assembly named Cunda who was the son of an artisan in Kusinagara. In order to better enable [the living beings of] the world to earn beneficial karmic merit, Cunda, together with fifteen others of like mind, put aside their usual comportment and rose from their seated positions.
偏袒右肩，右膝著地，合掌向佛，悲泣墮淚，頂禮佛足，而白佛言：「唯願世尊及比丘僧，哀受我等最後供養，為度無量諸眾生故。	They bared their right shoulders, put their right knees on the ground, joined their palms and, facing the Buddha, began to weep, their tears pouring out. Paying respect at the Buddha's feet, they then addressed him, saying: All we ask of the World-Honored One and the bhiksus is that you take pity on us and accept our last offerings of alms so that you may ferry innumerable living beings over [to the other shore].
世尊！我等從今無主、無親、無救、無護、無歸、無趣、貧窮飢困，欲從如來求將來食，唯願哀愍，受我微供，然後乃入於般涅槃。 世尊！	World-Honored One, from now on we will have no master, no parents, no savior, no protector, no refuge, and no destination. Impoverished and hungry, we wish to follow the Tathagata [and assume that] our nourishment will come in the future. All we ask is that you sympathize with us and accept our meager offerings, and only after that enter parinirvana.
譬如剎利、若婆羅門、毘舍、首陀，以貧窮故，遠至他國，役力農作，得好調牛，良田平正，無諸沙鹵、惡草、株杌，唯悕天雨。	World-Honored One, it is like those from military (ksatriya), priestly (brahmana), merchant (vaisya), or peasant (sudra) backgrounds that, compelled by poverty, journey to far-off lands. They pour their labors into farming, obtaining a well-tamed ox and taking a fertile field and making it flat without any sand, harmful weeds, or tree stumps. All they seek is rain from the heavens.
言調牛者，喻身口七。 良田平正，喻於智慧。	The tamed ox that we speak of is a metaphor for the seven ways [we control] our actions and speech [for the karma it creates]. The fertile field is a metaphor for spiritual wisdom (prajna).
除去沙鹵、惡草、株杌，喻除煩惱。	Removing the sand, harmful weeds, and tree stumps is a metaphor for removing the defilements (klesas).
世尊！ 我今身有調牛、良田、除去株杌，唯悕如來甘露法雨。	World-Honored One, there are now trained oxen in us that have removed the tree stumps from fertile fields; we look only to you, Tathagata, for the dharma rain that is the ambrosia of immortality (amrta) to us.
貧四姓者，即我身是，貧於無上法之財寶。	The impoverished four castes are none other than the impoverishment of who we are with respect to the wealth of the unsurpassed dharma.
唯願哀愍，除斷我等貧窮困苦，拯及無量苦惱眾生。	All we ask is that you take pity and eradicate our poverty and pain, thereby lifting up the immeasurable number of suffering living beings.
我今所供，雖復微少，冀得充足如來大眾。	What we have to offer may be small and trivial, but we nevertheless hope that it may satisfy the Tathagata and the community.
我今無主、無親、無歸，願垂矜愍，如羅睺羅。」	We now face having no master, no parents, and no refuge [after you are gone]; we come to you wishing for the compassion you would extend to [your son] Rahula.
爾時世尊、一切種智、無上調御，告純陀曰：	At that time the World-Honored One, the Omniscient, the Unsurpassed Tamer, addressed Cunda, saying:
「善哉，善哉！我今為汝除斷貧窮，無上法雨雨汝身田，令生法芽。	Excellent! Excellent! I will now indeed remove this poverty for you. The rain of the unsurpassed dharma will fall upon your karmic field, bringing forth a dharma sprout.
汝今於我，欲求壽命、色力、安、辯，我當施汝常命、色力、安、無礙辯。 何以故？	What you seek in me is life, form, power, serenity, and lucidity. I will indeed provide you with continual life, form, power, serenity, and unimpeded lucidity.
純陀！ 施食有二，果報無差。	Cunda, donating nourishment [as you have done] will have two karmic rewards that are indistinguishable.
何等為二？	What are these two?
一者受已，得阿耨多羅三藐三菩提；	First is that after the donation i s accepted, [the donor] attains anuttara-samyak-sambodhi.
二者受已，入於涅槃。	Second is that after the donation is accepted, [the donor] enters nirvana.
我今受汝最後供養，令汝具足檀波羅蜜。」	I now accept this last offering from you, and [thereby] bring you to the completion of the perfection of charity (dana-paramita).
爾時純陀即白佛言：「如佛所說，二施果報無差別者，是義不然。	At that time, Cunda immediately spoke to the Buddha, saying: The Buddha has said that the two karmic rewards of donations like mine are indistinguishable, but this does not make sense to me.
何以故？ 先受施者，煩惱未盡，未得成就一切種智，亦未能令眾生具足檀波羅蜜；	Because in the first instance of one who has had his donation accepted, the defilements will not have been exhausted, omniscient wisdom will not have been achieved, and there will be no ability to enable [other] living beings to complete the perfection of charity [through similar acts of giving].
後受施者，煩惱已盡，已得成就一切種智，能令眾生普得具足檀波羅蜜。	Whereas in the second instance of one who has had his donation accepted, the defilements will have been exhausted, omniscient wisdom will have been achieved, and he will have acquired the ability to guide other living beings to complete the perfection of charity.
先受施者，直是眾生；	In the first instance, the one who has had his donation accepted is merely a living being.
後受施者，是天中天。	In the second instance, the one who has had his donation accepted is a god among gods.
先受施者，是雜食身、煩惱之身、是後邊身、是無常身；	In the first instance, the one who has had his donation accepted has a body sustained by various forms of eating, a body still deluded with the defilements, a body that has a final limit, a body that is impermanent.
後受施者，無煩惱身、金剛之身、法身、常身、無邊之身。	In the second instance, the one who has had his donation accepted has a body devoid of the defilements, a vajra (adamantine) body, a dharma body, a permanent body, a body without limits.
云何而言，二施果報等無差別？	Why, then, do you say that they are equal and without distinction?
先受施者，未能具足檀波羅蜜乃至般若波羅蜜，唯得肉眼，未得佛眼乃至慧眼； 後受施者，已得具足檀波羅蜜乃至般若波羅蜜，具足佛眼乃至慧眼。	In the first instance, the one who has had his donation accepted is not yet able to complete the perfection of charity nor any of the other perfections up through and including the perfection of wisdom. He only has physical eyes, he has not yet attained the eyes of a buddha nor any of the other forms of seeing, up through and including the eyes of spiritual wisdom. In the second instance, the one who has had his donation accepted has already completed the perfection of charity and all the other perfections up through the perfection of wisdom. He is endowed with the eyes of a buddha and the other forms of seeing, up through the eyes of wisdom.
云何而言二施果報等無差別？	Why, then, do you say the two karmic effects of donations are indistinguishable?
世尊！先受施者，受已食噉，入腹消化，得命、得色、得力、得安、得無礙辯；	World-Honored One, the first one who has had his donation accepted chews the food he receives, swallows it, and digests it. He thereby gains life, form, power, serenity, and unimpeded lucidity.
後受施者，不食、不消、無五事果；	The second one who has had his donation accepted does not eat food, does not digest food, and gains none of the five nutritional effects [of eating].
云何而言二施果報等無差別？」	Why, then, do you say the two karmic effects of donations are indistinguishable?
佛言：	The Buddha said:
「善男子！如來已於無量無邊阿僧祇劫，無有食身、煩惱之身，無後邊身，常身、法身、金剛之身。	Good man, for innumerable, asamkhyeya kalpas the Tathagata has had a body that is not nourished by food nor affected by the defilements, a body without limits, a permanent body, a dharma body, a vajra body.
善男子，未見佛性者，名煩惱身、雜食之身，是後邊身。	 b Good man, it is those who have not seen the buddha-nature that I name as having a body affected by the defilements, a body that is sustained by food, a body that has limits.
菩薩爾時受飲食已，入金剛三昧，此食消已，即見佛性，得阿耨多羅三藐三菩提，是故我言，二施果報等無差別。	A bodhisattva on this occasion who, after accepting a donation of food and drink, enters the vajra-samadhi is someone who will, after his meal is digested, immediately see the buddha-nature and attain anuttara-samyak-sambodhi. For this reason I say the two karmic effects of the donations are equivalent and indistinguishable.
菩薩爾時破壞四魔，今入涅槃，亦破四魔，是故我言二施果報等無差別。	A bodhisattva on this occasion destroys the four maras, and if he were to enter nirvana he would also destroy the four maras. For this reason I say the two karmic effects of the donations are equivalent and indistinguishable.
菩薩爾時雖不廣說十二部經，先已通達，今入涅槃，廣為眾生分別演說，是故我言二施果報等無差別。	A bodhisattva on this occasion, though he may not [be able to] explain everything among the scriptures that make up the twelvefold canon, is certainly more proficient in them than he had been previously. And if he were to enter nirvana he would analyze and elucidate the [canon] for the sake of living beings in detail. For this reason I say the two karmic effects of the donations are equivalent and indistinguishable.
善男子！ 如來之身，已於無量阿僧祇劫不受飲食。	Good man, for innumerable, asamkhyeya kalpas the body of the Tathagata has not accepted any food or drink.
為諸聲聞說言，先受難陀、難陀波羅二牧牛女所奉乳糜，然後乃得阿耨多羅三藐三菩提；	For the sravakas I did say, First I accepted the milk porridge offered by the two oxherding women, Nanda and Nandabala. Only afterward did I then attain anuttara-samyak-sambodhi.
我實不食。	But in fact I did not eat anything.
我今為於此會大眾，是故受汝最後所奉；	That I now accept your last offerings is for the sake of this great assembly.
實亦不食。」	But in fact I will not eat any of it.
爾時大眾聞佛世尊，普為大會受於純陀最後供養，歡喜踊躍同聲讚言：	At that time, hearing that the Buddha and World-Honored One would accept the last offering of alms from Cunda for the sake of the entire assembly, the crowd became ecstatic and shouted out their praise in unison:
「善哉，善哉！希有純陀！	Excellent, excellent! How rare this is, Cunda!
汝今立字，名不虛稱。 言純陀者，名解妙義。	The name by which you are recognized is not meaningless, for Cunda means to understand subtle meanings. And now you have established something of great meaning.
汝今建立如是大義，是故依實從義立名，故名純陀。	Thus your name has been established on the basis of the truth that accords with meaning. That is why you are known as Cunda.
汝今現世得大名利，德願滿足。	In all the world it is you who have now gained great fame and profit; your auspicious wish has been fulfilled.
甚奇純陀！ 生在人中，復得難得無上之利。	How remarkable, Cunda, that among all people living today it is you who have obtained what is so difficult to obtain and what is so unsurpassed in value.
善哉純陀！	Excellent, Cunda.
如優曇花世間希有，佛出於世亦復甚難，值佛生信聞法復難，佛臨涅槃最後供養，能辦是事復難於是。	This is as rare as the appearance of the udumbara flower in the world. It is extremely uncommon for a buddha to appear in the world, and uncommon as well to meet a buddha, to put forth faith, and to truly hear the dharma. But to be able to make the final offering when the Buddha is facing his nirvfu;la-to be able to do that! How much more uncommon!
南無純陀，南無純陀！汝今已具檀波羅蜜，	Homage to Cunda! Homage to Cunda! You have accomplished the perfection of charity!
猶如秋月，十五日夜，清淨圓滿，無諸雲翳，一切眾生無不瞻仰；	It is like an autumn moon on the evening of the fifteenth of the month: clear, perfectly round, and not covered by any clouds. All living beings cannot help but look upon it with reverence.
汝亦如是，而為我等之所瞻仰。	You, too, are like this, and thus we look upon you with reverence.
佛已受汝最後供養，令汝具足檀波羅蜜。 南無純陀！	The Buddha has already accepted your final offering, enabling you to complete the perfection of charity. Homage to Cunda!
是故說汝如月盛滿，一切眾生無不瞻仰。 南無純陀！	This is why we say you are like the full moon, and all living beings cannot help but regard you with reverence. Homage to Cunda!
雖受人身，心如佛心。	Although you have a human body, your mind is like a buddha-mind.
汝今純陀，真是佛子，如羅睺羅，等無有異。」	Now you are Cunda, but in reality you are the son of the Buddha, no different from his son Rahula.
爾時大眾即說偈言： 「汝雖生人道， 已超第六天， 我及一切眾， 今故稽首請。	Then, from the great assembly, the following verses were proclaimed: Although you were born in the human realm, You have gone beyond the sixth heaven.o Myself and everyone else in the assembly, Thus bow down and beseech you now.
人中最勝尊， 今當入涅槃， 汝應愍我等， 唯願速請佛， 久住於世間， 利益無量眾， 演說智所讚， 無上甘露法。	The holiest among the people, Is about to enter nirvana now. You should take pity on us. For all we ask is that you quickly implore the Buddha, To long remain in this world, Benefiting countless beings, Expounding the wise, praiseworthy Dharma that is sublime ambrosia.
汝若不請佛， 我命將不全， 是故應見為， 稽請調御師。」	If you do not implore the Buddha thus, Our lives will never be whole. For this reason you must see him. Bow down and plead with our lord and protector (natha)!
爾時純陀歡喜踊躍，譬如有人，父母卒喪忽然還活，純陀歡喜亦復如是，	 At that moment Cunda was overcome with joy. He was like someone whose father and mother had suddenly died and just as suddenly had come back to life, Cunda's joy was this great.
復起禮佛，而說偈言： 「快哉獲己利， 善得於人身， 蠲除貪恚等， 永離三惡道。	He rose again, bowed ceremoniously before the Buddha, and then spoke in verse: Glad indeed am I, having gained the blessing, Of acquiring a human body [in this life]. Of allaying all trace of my greed, anger, and so forth, Of having forever left behind birth in the three unfortunate realms.
快哉獲己利， 遇得金寶聚， 值遇調御師， 不懼墮畜生。	Glad indeed am I, having gained the blessing Of acquiring a bevy of gold and jewels by chance. Of encountering a lord and protector, Of no longer fearing a fall into an animal rebirth.
